time,temperature_2m,rain (mm),precipitation (mm),relative_humidity_2m,wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m,apparent_temperature,weather_code
2023-02-13T00:00,7.2,0,0,76,4,3.3,264,5,0
2023-02-13T01:00,7.1,0,0,67,2.9,2.2,279,4.7,0
2023-02-13T02:00,7.1,0,0,62,4,3.7,169,4.5,0
2023-02-13T03:00,6.9,0,0,62,4,4.1,165,4.2,0
2023-02-13T04:00,6.8,0,0,63,1.8,0.7,270,4.5,0
2023-02-13T05:00,6.9,0,0,62,3.6,4.5,166,4.2,0
2023-02-13T06:00,7.2,0,0,63,2.6,3.3,103,4.7,0
2023-02-13T07:00,8.8,0,0,60,4.8,5,120,6.2,0
2023-02-13T08:00,12.9,0,0,53,1.9,3.1,111,11.1,0
2023-02-13T09:00,15,0,0,47,2.7,2.9,30,13.2,0
2023-02-13T10:00,17,0,0,43,4.2,4.3,336,15.3,0
2023-02-13T11:00,18.5,0,0,39,6.4,7.4,331,17.1,0
2023-02-13T12:00,19.8,0,0,36,7.2,8.7,330,18.5,0
2023-02-13T13:00,20.6,0,0,33,8,10,322,19,0
2023-02-13T14:00,20.7,0,0,31,9.2,12.5,321,18.1,0
2023-02-13T15:00,19.7,0,0,33,9.3,12.9,324,16.7,0
2023-02-13T16:00,18,0,0,39,8.2,11.8,322,15.3,0
2023-02-13T17:00,15.1,0,0,58,6.9,8.9,333,13.3,0
2023-02-13T18:00,13.4,0,0,66,4.7,8.2,319,12,0
2023-02-13T19:00,12.5,0,0,67,3.6,4.8,318,11.1,0
2023-02-13T20:00,11.2,0,0,73,3.1,3,284,9.9,0
2023-02-13T21:00,9.9,0,0,80,1.9,2.4,297,8.8,0
2023-02-13T22:00,9.3,0,0,81,1.4,0.8,27,8.1,0
2023-02-13T23:00,8.7,0,0,83,2.6,4.5,104,7.3,0
2023-02-14T00:00,7.9,0,0,87,3.3,4.7,113,6.3,0
2023-02-14T01:00,7.2,0,0,89,4,4.1,128,5.5,0
2023-02-14T02:00,6.6,0,0,91,5.1,5.4,143,4.7,0
2023-02-14T03:00,6.2,0,0,92,4.7,5,150,4.2,0
2023-02-14T04:00,5.9,0,0,92,4.4,4.1,165,3.9,0
2023-02-14T05:00,5.6,0,0,95,4.7,4.8,167,3.7,0
2023-02-14T06:00,5.8,0,0,93,4.4,3.8,163,3.8,0
2023-02-14T07:00,7.5,0,0,85,3.6,1.8,169,5.8,0
2023-02-14T08:00,12.2,0,0,62,1.1,1.6,117,10.8,0
2023-02-14T09:00,14.3,0,0,55,2.9,3.3,6,12.7,0
2023-02-14T10:00,16.2,0,0,50,5.1,5.8,353,14.6,0
2023-02-14T11:00,17.8,0,0,46,7.1,8.7,343,16.6,0
2023-02-14T12:00,18.7,0,0,42,8.9,11.4,325,17.4,0
2023-02-14T13:00,19,0,0,41,10.8,14.6,322,17.1,0
2023-02-14T14:00,18.8,0,0,41,10.7,14.8,319,16.3,0
2023-02-14T15:00,18.1,0,0,42,9.5,13.3,322,15.5,0
2023-02-14T16:00,17.1,0,0,46,8.5,11.8,322,14.7,1
2023-02-14T17:00,14.5,0,0,67,6.3,10.8,334,13.1,0
2023-02-14T18:00,13.2,0,0,73,5.5,9.1,326,12,1
2023-02-14T19:00,13.6,0,0,60,3.8,6.9,321,12,0
2023-02-14T20:00,13,0,0,61,1.9,3.5,336,11.7,1
2023-02-14T21:00,10.7,0,0,77,2.8,2,45,9.5,0
2023-02-14T22:00,10.1,0,0,76,2.7,4.9,107,8.7,0
2023-02-14T23:00,9.3,0,0,82,2.2,1.8,53,8,0
2023-02-15T00:00,9.2,0,0,81,3,5.2,106,7.7,0
2023-02-15T01:00,8.8,0,0,82,2.9,3.9,146,7.4,0
2023-02-15T02:00,8.4,0,0,83,3.3,4.6,129,6.8,0
2023-02-15T03:00,7.9,0,0,86,4.1,5.3,152,6.2,0
2023-02-15T04:00,7.4,0,0,87,4.1,4.8,153,5.7,0
2023-02-15T05:00,7.5,0,0,92,4.8,7.2,143,5.8,0
2023-02-15T06:00,7.6,0,0,90,4.6,7.3,123,6,0
2023-02-15T07:00,9.2,0,0,84,6.6,7.7,139,7.4,0
2023-02-15T08:00,13.3,0,0,66,2.4,4.3,156,12.2,0
2023-02-15T09:00,15.6,0,0,56,2.5,2.7,337,14.4,0
2023-02-15T10:00,17.6,0,0,50,4.7,5.5,11,16.4,0
2023-02-15T11:00,19.4,0,0,45,4.7,5.4,4,19,0
2023-02-15T12:00,21.2,0,0,39,6.9,8.7,330,20.5,2
2023-02-15T13:00,21.5,0,0,37,12.5,17.4,326,19.5,2
2023-02-15T14:00,19.7,0,0,42,13,18.9,310,17.1,1
2023-02-15T15:00,18.7,0,0,46,9,13,298,16.5,1
2023-02-15T16:00,18,0,0,47,7.1,10.6,288,16.1,1
2023-02-15T17:00,16.5,0,0,53,5.4,11.9,275,14.9,1
2023-02-15T18:00,15.1,0,0,63,3.1,8.3,272,14.1,1
2023-02-15T19:00,14.2,0,0,71,2.2,1.5,225,13.6,0
2023-02-15T20:00,12.4,0,0,78,1.1,0.4,360,11.9,0
2023-02-15T21:00,12.1,0,0,78,1.5,1.5,76,11.4,0
2023-02-15T22:00,11.7,0,0,80,2.7,6.5,71,10.8,1
2023-02-15T23:00,11.6,0,0,78,3.2,8.4,97,10.6,0
2023-02-16T00:00,11.2,0,0,79,3.3,6,115,10.1,1
2023-02-16T01:00,10.9,0,0,79,3.4,6.1,135,9.7,0
2023-02-16T02:00,10.6,0,0,78,3.7,6.8,115,9.2,0
2023-02-16T03:00,10.5,0,0,76,4,8.9,117,9,0
2023-02-16T04:00,10.4,0,0,73,3.9,7.2,127,8.8,0
2023-02-16T05:00,9,0,0,85,4.6,4.8,132,7.4,0
2023-02-16T06:00,10.2,0,0,77,3.1,4.4,125,8.8,0
2023-02-16T07:00,12.5,0,0,67,3.2,5.2,124,11.1,0
2023-02-16T08:00,15.7,0,0,53,3.7,5.8,112,14.2,0
2023-02-16T09:00,17.8,0,0,43,3.1,3.7,61,16.1,0
2023-02-16T10:00,19.7,0,0,37,4.9,5.9,43,17.9,0
2023-02-16T11:00,21.2,0,0,33,5.8,7.1,24,19.9,0
2023-02-16T12:00,22.9,0,0,29,7.3,9.1,7,21.6,1
2023-02-16T13:00,23.3,0,0,28,12,16.8,325,20.7,2
2023-02-16T14:00,21.8,0,0,33,10.5,15.1,303,19,2
2023-02-16T15:00,21.1,0,0,35,6.9,10.3,306,18.9,1
2023-02-16T16:00,20.4,0,0,36,7.3,10.9,304,18.1,2
2023-02-16T17:00,18.6,0,0,55,4.9,7.6,267,17.7,1
2023-02-16T18:00,16.7,0,0,62,4.6,7.2,264,15.9,1
2023-02-16T19:00,17.2,0,0,53,3.6,6.6,292,16,1
2023-02-16T20:00,16.8,0,0,53,5.6,9.4,317,15.3,0
2023-02-16T21:00,16.4,0,0,54,1.1,3.9,304,15.5,0
2023-02-16T22:00,14,0,0,67,3.8,1.5,194,12.9,0
2023-02-16T23:00,12.4,0,0,75,3,1.3,146,11.5,0
2023-02-17T00:00,11.8,0,0,78,2.6,0.4,90,10.9,0
2023-02-17T01:00,11.3,0,0,79,3.3,2.5,172,10.3,0
2023-02-17T02:00,11,0,0,79,2.6,1.8,169,10,0
2023-02-17T03:00,10.5,0,0,81,3.4,1.8,127,9.3,0
2023-02-17T04:00,10.3,0,0,80,3.4,2.4,117,9.1,0
2023-02-17T05:00,9,0,0,88,4,3.6,127,7.7,0
2023-02-17T06:00,9.8,0,0,84,2.6,3.4,122,8.7,0
2023-02-17T07:00,11.2,0,0,78,5.2,5.2,124,9.8,0
2023-02-17T08:00,16.1,0,0,58,2.8,5,120,15.1,0
2023-02-17T09:00,18.5,0,0,44,3.2,3.7,29,17,0
2023-02-17T10:00,20,0,0,40,5.4,6.6,351,18.5,0
2023-02-17T11:00,21.5,0,0,36,9,11.3,343,20,0
2023-02-17T12:00,22.2,0,0,34,11.9,15.8,336,20.1,0
2023-02-17T13:00,22.4,0,0,32,10.2,14.1,322,20.1,0
2023-02-17T14:00,22.6,0,0,31,9.4,13.3,319,20,0
2023-02-17T15:00,22.1,0,0,32,10.7,15.3,321,19.2,0
2023-02-17T16:00,20.9,0,0,35,8.7,13,312,18.4,1
2023-02-17T17:00,18.6,0,0,52,6.1,9.3,257,17.3,0
2023-02-17T18:00,17.1,0,0,55,3.8,9.6,250,16,0
2023-02-17T19:00,15.4,0,0,67,3,6.6,248,14.8,1
2023-02-17T20:00,14.2,0,0,76,2.9,5.6,297,13.8,1
2023-02-17T21:00,14,0,0,74,1.8,3.7,299,13.6,0
2023-02-17T22:00,13.9,0,0,73,2.2,0,270,13.3,0
2023-02-17T23:00,12.7,0,0,79,3.8,2.8,130,11.9,0
2023-02-18T00:00,12.5,0,0,79,3.8,3.8,131,11.6,0
2023-02-18T01:00,12.2,0,0,80,3.9,5.1,135,11.3,0
2023-02-18T02:00,11.8,0,0,80,4,5.8,120,10.8,2
2023-02-18T03:00,11.3,0,0,81,4.3,5.4,127,10.1,1
2023-02-18T04:00,11.1,0,0,80,4.8,4.6,135,9.8,0
2023-02-18T05:00,9.9,0,0,81,6,5.8,112,8.2,0
2023-02-18T06:00,11.1,0,0,74,3.2,6.2,111,9.7,0
2023-02-18T07:00,12.8,0,0,66,4.3,6,115,11.3,0
2023-02-18T08:00,16.3,0,0,50,3.5,5.5,113,14.8,0
2023-02-18T09:00,18.2,0,0,43,3.9,4.3,42,16.5,0
2023-02-18T10:00,20,0,0,40,5.8,6.9,6,18.4,0
2023-02-18T11:00,21.9,0,0,37,11.3,13.8,351,20.2,1
2023-02-18T12:00,22.7,0,0,34,15.3,20.2,344,20.5,1
2023-02-18T13:00,22.5,0,0,34,14.7,20.2,341,19.9,0
2023-02-18T14:00,22.5,0,0,33,12.2,16.6,338,19.8,0
2023-02-18T15:00,22.4,0,0,33,10.2,14,334,19.8,1
2023-02-18T16:00,21.3,0,0,35,8.4,12.5,321,19,0
2023-02-18T17:00,18.6,0,0,56,7.5,11.1,295,17.3,0
2023-02-18T18:00,17.1,0,0,52,4.7,11.4,281,15.7,0
2023-02-18T19:00,15.5,0,0,63,5.1,8.3,275,14.3,0
2023-02-18T20:00,14.6,0,0,66,3.4,4.7,266,13.7,0
2023-02-18T21:00,13.9,0,0,68,2.5,2.6,214,13,0
2023-02-18T22:00,13.4,0,0,68,2.2,1,135,12.5,1
2023-02-18T23:00,13,0,0,69,2.5,3.3,131,12,0
2023-02-19T00:00,12.6,0,0,70,2.9,4.2,121,11.5,0
2023-02-19T01:00,12.3,0,0,70,3.3,5,120,11,0
2023-02-19T02:00,11.9,0,0,71,3.3,4.1,128,10.6,0
2023-02-19T03:00,11.4,0,0,73,3.6,2.7,113,10.1,0
2023-02-19T04:00,11.4,0,0,72,3.8,3.5,114,9.9,0
