time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,cloud_cover,visibility,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2025-01-01T00:00,7.3,98,7,0,872.6,51,24140,3.5,246,6.8
2025-01-01T01:00,6.7,99,6.5,0,872.5,60,24140,5.2,286,9
2025-01-01T02:00,6.7,99,6.5,0,872.1,55,24140,2.9,277,9
2025-01-01T03:00,6.4,100,6.4,0,871.4,71,24140,4.1,255,6.8
2025-01-01T04:00,6.1,99,5.9,0,870.7,62,24140,4.3,246,9.4
2025-01-01T05:00,6.8,100,6.8,0,871.9,61,24140,1.5,256,7.2
2025-01-01T06:00,6,100,6,0,872,100,24140,5,291,7.6
2025-01-01T07:00,5.9,100,5.9,0,872.6,86,24140,3.7,299,10.4
2025-01-01T08:00,9.1,93,8,0,873.6,66,24140,2,225,6.5
2025-01-01T09:00,11.8,80,8.5,0,874.9,85,24140,4.7,90,11.5
2025-01-01T10:00,13.7,73,8.9,0,875.1,46,24140,5.5,101,14
2025-01-01T11:00,15.2,64,8.5,0,875.5,30,24140,4.9,126,14.8
2025-01-01T12:00,16.7,53,7,0,874.7,15,24140,4.9,126,14.8
2025-01-01T13:00,17.5,46,5.7,0,874.2,9,24140,4.9,107,12.2
2025-01-01T14:00,17.6,45,5.5,0,873.1,0,24140,6.5,109,13.3
2025-01-01T15:00,17.3,46,5.5,0,872.7,55,24140,6.8,122,13.3
2025-01-01T16:00,16.3,49,5.5,0,872.4,54,24140,5.5,148,13.3
2025-01-01T17:00,14.2,59,6.3,0,872.4,43,24140,4.3,204,10.1
2025-01-01T18:00,11.6,73,6.9,0,872.2,0,24140,5.9,256,10.1
2025-01-01T19:00,9.8,86,7.5,0,872.4,0,24140,6.8,273,11.5
2025-01-01T20:00,9.2,89,7.5,0,872.2,0,24140,6.2,263,12.6
2025-01-01T21:00,8.6,91,7.2,0,872.4,0,24140,5.9,284,12.2
2025-01-01T22:00,7.8,92,6.6,0,871.6,4,24140,5.9,281,10.1
2025-01-01T23:00,6.4,96,5.8,0,872.5,45,24140,4.8,243,9.7
2025-01-02T00:00,5.6,100,5.6,0,871.5,62,24140,3.3,264,9
2025-01-02T01:00,5.6,99,5.4,0,871.4,62,24140,5.4,262,10.8
2025-01-02T02:00,5.4,99,5.3,0,870.5,61,24140,3.3,229,9.7
2025-01-02T03:00,5.3,99,5.1,0,870,60,24140,2.9,270,9.4
2025-01-02T04:00,5.5,100,5.5,0,870.2,68,24140,4,260,7.9
2025-01-02T05:00,5.6,100,5.6,0,871.6,80,24140,2.6,286,9
2025-01-02T06:00,4.8,100,4.8,0,872.4,100,24140,4.5,256,7.9
2025-01-02T07:00,4.6,100,4.6,0,872.9,100,24140,3.1,324,11.2
2025-01-02T08:00,7.8,96,7.2,0,874.6,76,24140,1.8,53,6.8
2025-01-02T09:00,10.9,85,8.4,0,876.3,42,24140,3.3,103,9.4
2025-01-02T10:00,13.5,68,7.7,0,876.4,0,24140,4.2,110,11.5
2025-01-02T11:00,15,58,6.8,0,876.1,0,24140,5.4,132,14.4
2025-01-02T12:00,16.3,49,5.6,0,875.4,11,24140,4.6,129,15.1
2025-01-02T13:00,17,46,5.3,0,875,3,24140,5.1,98,13.3
2025-01-02T14:00,17.1,46,5.4,0,874.1,0,24140,6.5,93,13.7
2025-01-02T15:00,16.8,46,5.1,0,873.6,5,24140,5.1,98,13.3
2025-01-02T16:00,15.9,49,5.2,0,873,20,24140,3.9,112,10.1
2025-01-02T17:00,14.5,57,6.1,0,873,40,24140,2.3,219,7.2
2025-01-02T18:00,12.2,65,5.8,0,873.1,43,24140,5.2,258,8.6
2025-01-02T19:00,9.2,82,6.3,0,873.1,0,24140,6.8,270,11.9
2025-01-02T20:00,8.2,87,6.2,0,873.6,0,24140,6.9,276,13
2025-01-02T21:00,7.9,87,5.9,0,873.8,0,24140,6.8,270,12.2
2025-01-02T22:00,7.3,89,5.6,0,873.7,0,24140,5.4,278,11.9
2025-01-02T23:00,6.5,89,4.8,0,873.9,0,24140,5.7,288,10.4
2025-01-03T00:00,6.2,90,4.7,0,873.3,0,24140,4.2,250,9.4
2025-01-03T01:00,5.9,90,4.4,0,873.4,0,24140,2.9,270,10.8
2025-01-03T02:00,5.6,90,4.1,0,872.7,0,24140,1.4,270,10.8
2025-01-03T03:00,5.6,91,4.3,0,872.3,3,24140,3.9,248,5
2025-01-03T04:00,4.8,93,3.8,0,872,3,24140,2.7,247,7.6
2025-01-03T05:00,3.7,98,3.4,0,872.6,48,24140,2.6,304,6.5
2025-01-03T06:00,3.6,99,3.5,0,873,66,24140,5,249,9
2025-01-03T07:00,3.7,99,3.5,0,873.6,60,24140,3.1,306,9.7
2025-01-03T08:00,8.2,85,5.8,0,875.4,0,24140,1.5,256,7.2
2025-01-03T09:00,11.4,72,6.5,0,876.9,1,24140,1.9,68,7.9
2025-01-03T10:00,14.6,62,7.4,0,877.4,1,24140,2.5,82,9.7
2025-01-03T11:00,16.8,53,7.1,0,877.1,0,24140,2.6,106,12.2
2025-01-03T12:00,18.4,44,5.9,0,876.2,0,24140,4.5,119,12.6
2025-01-03T13:00,19.2,40,5.3,0,875.5,0,24140,3.7,101,12.2
2025-01-03T14:00,19.6,40,5.6,0,875,0,24140,3.1,69,11.2
2025-01-03T15:00,19.4,43,6.5,0,874.6,0,24140,2.8,40,8.3
2025-01-03T16:00,18.4,48,7.2,0,874.4,5,24140,1.8,11,6.1
2025-01-03T17:00,15.6,56,6.8,0,873.5,0,24140,4.5,284,5.8
2025-01-03T18:00,12,67,6,0,873.2,0,24140,7.3,261,12.6
2025-01-03T19:00,11,67,5.1,0,873.2,0,24140,8.6,268,15.5
2025-01-03T20:00,10.1,73,5.5,0,873.7,0,24140,6.8,273,14.8
2025-01-03T21:00,9.1,81,6,0,873.4,0,24140,6.3,283,11.9
2025-01-03T22:00,8.4,85,6,0,873.3,0,24140,6.2,280,11.5
2025-01-03T23:00,7.3,85,4.9,0,873.5,0,24140,4.7,238,10.8
2025-01-04T00:00,7.4,83,4.7,0,873,0,24140,3.9,236,9.7
2025-01-04T01:00,6.9,85,4.6,0,872.8,0,24140,3.3,257,7.6
2025-01-04T02:00,6.7,86,4.5,0,872.2,0,24140,4.2,250,8.6
2025-01-04T03:00,6.6,87,4.6,0,871.6,0,24140,4.1,255,10.8
2025-01-04T04:00,6,89,4.3,0,871.3,0,24140,4,270,11.2
2025-01-04T05:00,6.3,87,4.3,0,872.1,0,24140,2.5,315,9
2025-01-04T06:00,6.2,88,4.3,0,872.5,0,24140,6.6,229,11.5
2025-01-04T07:00,5.2,94,4.3,0,873.5,33,24140,3.8,343,11.2
2025-01-04T08:00,9.3,82,6.4,0,874.9,0,24140,3.3,276,9.4
2025-01-04T09:00,12.8,68,7.1,0,876.6,0,24140,2.7,67,9.7
2025-01-04T10:00,15,63,8,0,876.8,0,24140,4.7,99,13.3
2025-01-04T11:00,16.8,54,7.5,0,876.3,0,24140,4.5,119,14
2025-01-04T12:00,18.2,51,7.9,0,875.6,3,24140,5,120,13
2025-01-04T13:00,19,48,7.7,0,874.6,0,24140,5.2,115,13.7
2025-01-04T14:00,19.4,46,7.5,0,874.3,0,24140,4,117,13.3
2025-01-04T15:00,19.2,47,7.6,0,873.8,0,24140,3.4,108,11.5
2025-01-04T16:00,18.4,50,7.8,0,873.8,0,24140,2.4,117,7.9
2025-01-04T17:00,16.6,59,8.5,0,873.4,4,24140,2.9,240,4.3
2025-01-04T18:00,12.7,72,7.8,0,872.7,0,24140,5.7,252,10.1
2025-01-04T19:00,10.2,80,6.9,0,872.3,0,24140,7.2,264,13
2025-01-04T20:00,9.5,81,6.4,0,872.9,0,24140,6.2,280,13
2025-01-04T21:00,8.7,85,6.3,0,873.4,0,24140,6.1,273,11.2
2025-01-04T22:00,8.2,87,6.2,0,873.5,0,24140,4.7,274,11.2
2025-01-04T23:00,8.4,83,5.7,0,873.3,0,24140,4.7,247,8.3
2025-01-05T00:00,8.3,83,5.6,0,873,0,24140,0.8,243,7.9
2025-01-05T01:00,8.1,82,5.2,0,872.7,0,24140,3.3,257,8.3
2025-01-05T02:00,7.2,86,5,0,872.4,28,24140,2.5,270,5
2025-01-05T03:00,6.4,89,4.7,0,871.8,40,24140,4.4,261,8.3
2025-01-05T04:00,6.1,90,4.6,0,871.4,68,24140,3.1,234,8.3
2025-01-05T05:00,6.7,87,4.7,0,872.8,17,24140,4,260,7.2
2025-01-05T06:00,6.8,88,4.9,0,873.2,16,24140,0.8,207,7.2
2025-01-05T07:00,5.8,96,5.2,0,873.9,70,24140,4.7,351,7.6
2025-01-05T08:00,8.1,90,6.6,0,875.7,94,24140,0.7,180,7.2
2025-01-05T09:00,11.2,81,8,0,877.3,89,24140,2.2,90,7.6
2025-01-05T10:00,13.6,72,8.7,0,877.6,86,24140,4.3,90,11.5
2025-01-05T11:00,15.1,64,8.3,0,876.8,100,24140,4,117,13
2025-01-05T12:00,16.4,58,8.1,0,875.9,100,24140,5.2,124,13.3
2025-01-05T13:00,16.8,57,8.2,0,875.3,100,24140,5.7,108,14
2025-01-05T14:00,17,55,7.9,0,875,100,24140,4.4,125,13.7
2025-01-05T15:00,16.8,54,7.5,0,874.6,100,24140,5.4,98,11.2
2025-01-05T16:00,16.1,56,7.3,0,874.4,100,24140,2.9,97,10.1
2025-01-05T17:00,14.3,66,8,0,873.9,100,24140,2.9,120,8.3
2025-01-05T18:00,12.9,70,7.5,0,873.8,100,24140,4.1,225,7.6
2025-01-05T19:00,11.7,76,7.6,0,874,100,24140,4.4,261,7.9
2025-01-05T20:00,10.8,81,7.6,0,874.3,100,24140,3.8,253,8.3
2025-01-05T21:00,10.2,83,7.5,0,874.4,100,24140,3.6,233,6.8
2025-01-05T22:00,10.2,82,7.3,0,874.5,100,24140,5,270,10.1
2025-01-05T23:00,9.1,84,6.5,0,874.3,100,24140,5,291,10.1
2025-01-06T00:00,8.6,83,5.9,0,873.7,100,24140,4.8,283,8.6
2025-01-06T01:00,8.5,83,5.8,0,873.4,100,24140,2.9,300,8.6
2025-01-06T02:00,8.5,83,5.8,0,872.8,100,24140,2.5,262,5.4
2025-01-06T03:00,8.3,85,5.9,0,872,100,24140,4.8,257,8.3
2025-01-06T04:00,8.2,85,5.8,0,871.5,100,24140,5.6,297,9.7
2025-01-06T05:00,7.4,88,5.5,0,872.3,100,24140,4,243,9.4
2025-01-06T06:00,7.3,86,5.1,0,872.5,100,24140,2.9,263,7.6
2025-01-06T07:00,7.6,85,5.2,0,873.8,100,24140,3.6,323,6.1
2025-01-06T08:00,10.3,79,6.8,0,875.1,37,24140,1.1,18,6.1
2025-01-06T09:00,12.6,72,7.7,0,876.6,0,24140,4,95,10.8
2025-01-06T10:00,14.8,65,8.3,0,876.5,10,24140,3.4,122,11.5
2025-01-06T11:00,16.6,54,7.3,0,875.4,0,24140,2.7,113,10.8
2025-01-06T12:00,17.9,50,7.3,0,874.4,37,24140,3.3,131,11.9
2025-01-06T13:00,18.7,48,7.5,0,873.7,43,24140,3,104,11.9
2025-01-06T14:00,19,48,7.7,0,873.3,58,24140,4.3,90,10.4
2025-01-06T15:00,18.5,49,7.6,0,872.8,62,24140,4.5,76,10.1
2025-01-06T16:00,17.6,52,7.6,0,872.5,69,24140,4.1,75,9
2025-01-06T17:00,16.1,59,8.1,0,872.4,69,24140,1.6,207,7.2
2025-01-06T18:00,13.6,67,7.6,0,872.3,62,24140,4.6,252,7.6
2025-01-06T19:00,10.6,81,7.4,0,871.7,30,24140,6.8,273,11.5
2025-01-06T20:00,9.3,87,7.3,0,871.5,29,24140,6.8,273,11.9
2025-01-06T21:00,8.5,88,6.6,0,871.5,31,24140,6.5,273,11.5
2025-01-06T22:00,7.9,88,6.1,0,871.7,25,24140,6.1,267,10.8
2025-01-06T23:00,7.2,91,5.8,0,871.3,37,24140,5.1,262,10.4
2025-01-07T00:00,6.7,92,5.5,0,871,28,24140,5.6,255,9.7
2025-01-07T01:00,6.7,93,5.6,0,870.5,23,24140,5.5,281,10.1
2025-01-07T02:00,6.6,94,5.7,0,870.4,30,24140,3.6,264,9
2025-01-07T03:00,6.2,96,5.6,0,870.1,52,24140,4.2,250,7.2
2025-01-07T04:00,6.2,97,5.7,0,870.4,69,24140,4.4,261,7.9
2025-01-07T05:00,7,99,6.8,0,871.3,85,24140,4.8,283,7.9
2025-01-07T06:00,6.9,98,6.6,0,871.5,88,24140,3.7,259,8.3
2025-01-07T07:00,7.6,98,7.3,0,872,83,24140,3.5,246,7.2
2025-01-07T08:00,10.8,90,9.2,0,873,50,24140,2,225,6.8
2025-01-07T09:00,12.9,74,8.4,0,874.1,66,24140,2.6,106,6.8
2025-01-07T10:00,14.4,66,8.1,0,873.8,59,24140,3.2,117,10.4
2025-01-07T11:00,15.5,58,7.3,0.1,873.4,66,24140,1.6,153,10.8
2025-01-07T12:00,16.2,54,6.9,0.1,872.3,58,20240,1.9,68,13.3
2025-01-07T13:00,14.3,66,8.1,0.6,871,94,24140,6.5,354,17.3
2025-01-07T14:00,13.3,71,8.1,0.7,870.3,78,24140,3,256,15.8
2025-01-07T15:00,13.7,68,7.9,0.1,869.8,40,24140,2.5,278,12.2
2025-01-07T16:00,13.4,67,7.4,0,869.8,50,19520,1.8,37,9.4
2025-01-07T17:00,11.8,77,7.9,0,869.4,57,20200,2.2,81,6.5
2025-01-07T18:00,10.4,83,7.7,0,868.9,61,24140,2.1,329,5.8
2025-01-07T19:00,9.1,87,7,0,868.6,60,24140,4.2,301,7.9
2025-01-07T20:00,8,90,6.4,0,868.9,58,24140,5.1,278,9.4
2025-01-07T21:00,7.4,91,6,0,869.5,52,24140,5.8,270,9.7
2025-01-07T22:00,7,92,5.8,0,869.5,8,24140,6.2,260,10.8
2025-01-07T23:00,7.6,91,6.2,0,868.7,0,24140,6.5,251,11.2
2025-01-08T00:00,7.4,91,6,0,868.7,0,24140,5.9,259,10.8
